Causa - CID-BR-10;Óbitos p/Residênc
054 REST D SANGUE, ORG HEMAT E ALG TRANST IMUNIT;1380
055-057 D ENDOCRINAS, NUTRICIONAIS E METABOLICAS;47047
055 DIABETES MELLITUS;37877
056 DESNUTRICAO;2024
057 REST DOENCAS ENDOCR, NUTRICION E METABOLICAS;7146
058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS;5839
058 TRANST MENT E COMPORT USO SUBST PSICOATIVAS;1604
058.1 TRANS MENT E COMPORT DEVID USO ALCOOL;701
059 REST TRANSTORNOS MENTAIS E COMPORTAMENTAIS;4235
060-063 DOENCAS DO SISTEMA NERVOSO;31988
060 MENINGITE;408
061 DOENCA DE ALZHEIMER;19771
062 EPILEPSIA;1721
063 RESTANTE DAS DOENCAS DO SISTEMA NERVOSO;10088
064 DOENCAS DOS OLHOS E ANEXOS;12
065 DOENCAS DO OUVIDO E DA APOFISE MASTOIDE;131
066-072 DOENCAS DO APARELHO CIRCULATORIO;182997
066 FEBRE REUMAT AGUDA E DOEN REUM CRON CORACAO;1543
067 DOENCAS HIPERTENSIVAS;33661
068 DOENCAS ISQUEMICAS DO CORACAO;47749
068.1 INFARTO AGUDO DO MIOCARDIO;37613
069 OUTRAS DOENCAS CARDIACAS;38751
070 DOENCAS CEREBROVASCULARES;51409
071 ATEROSCLEROSE;396
072 REST DOENCAS DO APARELHO CIRCULATORIO;9488
073-077 DOENCAS DO APARELHO RESPIRATORIO;83850
073 INFLUENZA (GRIPE);745
074 PNEUMONIA;42830
075 OUT INFEC AGUDAS DAS VIAS AEREAS INFERIORES;841
075.1 BRONQUIOLITE;317
076 DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES;24549
076.1 ASMA;1699
077 RESTANTE  DOENCAS DO APARELHO RESPIRATORIO;14885
078-082 DOENCAS DO APARELHO DIGESTIVO;31112
078 ULCERA GASTRICA, DUODENAL E PEPTICA;1947
079 PERITONITE;1021
080 DOENCAS DO FIGADO;6683
080.1 DOENCA ALCOOLICA DO FIGADO;1319
080.2 FIBROSE E CIRROSE DO FIGADO;2756
080.3 OUTRAS DOENCAS DO FIGADO;2608
081 COLECISTITE;1212
082 REST DOENCAS DO APARELHO DIGESTIVO;20249
083 DOENCAS DA PELE E TECIDO SUBCUTANEO;5715
084 DOENCAS SIST OSTEOMUSC E TECIDO CONJUNTIVO;4465
085-087 DOENCAS DO APARELHO GENITURINARIO;30764
085 D GLOMERULARES E D RENAIS TUBULO-INTERSTIC;3624
086 INSUFICIENCIA RENAL;7574
087 REST DOENCAS DO APARELHO GENITURINARIO;19566
093-097 ALG AFECCOES ORIGIN NO PERIODO PERINATAL;7723
093 FETO E RECEMNASC AFET FAT MAT E COMPL GRAV;2568
094 TRANST RELAC DURACAO GESTACAO E CRESC FETAL;605
095 TRAUMATISMO DE PARTO;13
096 TRANS RESP E CARDIOVAS ESPEC PER PERINATAL;2391
097 REST AFEC ORIGINADAS NO PERIODO PERINATAL;2146
098-100 MALF CONGEN, DEFORM E ANOMAL CROMOSSOMICAS;5018
098 MALFORMACOES CONGENITAS DO SISTEMA NERVOSO;801
099 MALF CONGENITAS DO APARELHO CIRCULATORIO;1935
100 REST DE MALF CONG, DEFORM E ANOMAL CROMOSS;2282
TOTAL;597578
