"Causa - CID-BR-10";"1 Região Norte";"2 Região Nordeste";"3 Região Sudeste";"4 Região Sul";"5 Região Centro-Oeste";"Total"
"... 076.1 Asma";115;717;1031;477;148;2488
". 077 Restante  doenças do aparelho respiratório";1964;10425;16930;3174;1430;33923
"078-082 DOENÇAS DO APARELHO DIGESTIVO";4150;18893;32820;10965;5489;72317
". 078 Úlcera gástrica, duodenal e péptica";237;1067;1853;629;320;4106
". 079 Peritonite";107;524;762;203;68;1664
". 080 Doenças do fígado";1612;7743;12191;4022;2120;27688
"... 080.1 Doença alcoólica do fígado";496;3410;4226;1753;983;10868
"... 080.2 Fibrose e cirrose do fígado";672;1928;5108;1599;765;10072
"... 080.3 Outras doenças do fígado";444;2405;2857;670;372;6748
". 081 Colecistite";109;405;895;456;152;2017
". 082 Rest doenças do aparelho digestivo";2085;9154;17119;5655;2829;36842
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";320;2551;4092;848;358;8169
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";367;1690;2949;774;390;6170
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";2384;10510;27674;7166;3124;50858
". 085 D glomerulares e d renais túbulo-interstic";165;1289;2835;570;368;5227
". 086 Insuficiência renal";1375;4021;8570;2744;1303;18013
". 087 Rest doenças do aparelho geniturinário";844;5200;16269;3852;1453;27618
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO";478;957;1207;434;331;3407
". 088 Gravidez que termina em aborto";23;29;42;10;12;116
". 089 Outras causas obstétricas diretas";138;325;280;94;75;912
". 090 Causas obstétricas indiretas";271;469;703;274;222;1939
". 091 Causa obstétrica não espec direta/indireta";5;15;30;6;5;61
". 092 Causas maternas tardias e sequelas";41;119;152;50;17;379
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";2588;6099;6427;1982;1506;18602
". 093 Feto e recemnasc afet fat mat e compl grav";663;1471;2050;843;540;5567
". 094 Transt relac duração gestação e cresc fetal";234;596;416;123;99;1468
". 095 Traumatismo de parto";8;8;9;4;4;33
". 096 Trans resp e cardiovas espec per perinatal";970;2146;1964;545;430;6055
". 097 Rest afec originadas no período perinatal";713;1878;1988;467;433;5479
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";1148;2873;3662;1379;930;9992
". 098 Malformações congênitas do sistema nervoso";205;478;493;175;163;1514
". 099 Malf congênitas do aparelho circulatório";462;1049;1395;549;349;3804
". 100 Rest de malf cong, deform e anomal Cromoss";481;1346;1774;655;418;4674
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";7624;26187;48404;8916;3003;94134
". 101 Senilidade";222;1292;1875;385;184;3958
". 102 Morte sem assistência médica";1799;2810;4332;635;140;9716
". 103 Rest sint, sin e ach anorm clín e laborat";5603;22085;42197;7896;2679;80460
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";14404;47632;53247;21412;12627;149322
". 104 Acidentes de transporte";3418;10556;11362;5826;3870;35032
". 105 Quedas";859;3580;7440;3440;1555;16874
". 106 Afogamento e submersões acidentais";770;1546;1461;628;431;4836
". 107 Exposição à fumaça, ao fogo e às chamas";47;179;464;213;67;970
". 108 Envenen, intoxic por ou expos a subst nociv";59;112;517;80;75;843
". 109 Lesões autoprovocadas voluntariamente";1209;3792;5607;3479;1412;15499
". 110 Agressões";6422;20247;10847;4628;3418;45562
". 111 Eventos(fatos) cuja intenção é indeterminada";462;3474;8105;1104;698;13843
". 112 Intervenções legais e operações de guerra";143;817;770;321;234;2285
". 113 Todas as outras causas externas";1015;3329;6674;1693;867;13578
"Total";121353;443872;843734;290226;133463;1832648
