"Causa - CID-BR-10";"1 Região Norte";"2 Região Nordeste";"3 Região Sudeste";"4 Região Sul";"5 Região Centro-Oeste";"Total"
". 097 Rest afec originadas no período perinatal";631;1671;1888;512;390;5092
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";1143;2967;3851;1517;969;10447
". 098 Malformações congênitas do sistema nervoso";208;514;544;219;151;1636
". 099 Malf congênitas do aparelho circulatório";489;1130;1423;551;403;3996
". 100 Rest de malf cong, deform e anomal Cromoss";446;1323;1884;747;415;4815
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";6659;24321;40295;8523;2799;82597
". 101 Senilidade";208;1463;2311;524;215;4721
". 102 Morte sem assistência médica";1407;2272;3762;576;167;8184
". 103 Rest sint, sin e ach anorm clín e laborat";5044;20586;34222;7423;2417;69692
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";14595;47813;54848;22573;13116;152945
". 104 Acidentes de transporte";3606;10412;11001;5985;3888;34892
". 105 Quedas";897;3861;7708;3786;1757;18009
". 106 Afogamento e submersões acidentais";694;1656;1433;590;387;4760
". 107 Exposição à fumaça, ao fogo e às chamas";50;171;469;202;69;961
". 108 Envenen, intoxic por ou expos a subst nociv";55;90;438;108;114;805
". 109 Lesões autoprovocadas voluntariamente";1312;3837;6022;3697;1594;16462
". 110 Agressões";6404;19304;10386;4845;3428;44367
". 111 Eventos(fatos) cuja intenção é indeterminada";460;3988;9393;1032;660;15533
". 112 Intervenções legais e operações de guerra";150;825;434;390;243;2042
". 113 Todas as outras causas externas";967;3669;7564;1938;976;15114
"Total";96552;403132;695469;245221;103892;1544266
