"Causa - CID-BR-10";"1 Região Norte";"2 Região Nordeste";"3 Região Sudeste";"4 Região Sul";"5 Região Centro-Oeste";"Total"
". 088 Gravidez que termina em aborto";21;40;39;7;13;120
". 089 Outras causas obstétricas diretas";126;249;255;77;69;776
". 090 Causas obstétricas indiretas";51;117;142;45;38;393
". 091 Causa obstétrica não espec direta/indireta";4;7;21;2;2;36
". 092 Causas maternas tardias e sequelas";19;74;129;31;27;280
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";2291;5417;6404;1981;1523;17616
". 093 Feto e recemnasc afet fat mat e compl grav";580;1512;2134;875;607;5708
". 094 Transt relac duração gestação e cresc fetal";140;559;445;125;77;1346
". 095 Traumatismo de parto";3;19;7;2;8;39
". 096 Trans resp e cardiovas espec per perinatal";897;1780;1923;493;415;5508
". 097 Rest afec originadas no período perinatal";671;1547;1895;486;416;5015
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";1245;3127;3856;1531;1021;10780
". 098 Malformações congênitas do sistema nervoso";216;459;519;185;156;1535
". 099 Malf congênitas do aparelho circulatório";522;1242;1415;533;402;4114
". 100 Rest de malf cong, deform e anomal Cromoss";507;1426;1922;813;463;5131
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";5992;19389;35985;7107;2655;71128
". 101 Senilidade";237;1161;2150;376;173;4097
". 102 Morte sem assistência médica";1163;1730;3170;445;195;6703
". 103 Rest sint, sin e ach anorm clín e laborat";4592;16498;30665;6286;2287;60328
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";14323;48480;55931;22340;13123;154197
". 104 Acidentes de transporte";3586;11231;11290;5925;3906;35938
". 105 Quedas";898;4221;8190;3838;1753;18900
". 106 Afogamento e submersões acidentais";728;1712;1583;655;495;5173
". 107 Exposição à fumaça, ao fogo e às chamas";68;195;417;204;72;956
". 108 Envenen, intoxic por ou expos a subst nociv";44;149;414;146;116;869
". 109 Lesões autoprovocadas voluntariamente";1438;4151;5991;3769;1653;17002
". 110 Agressões";5819;19052;10669;4575;3328;43443
". 111 Eventos(fatos) cuja intenção é indeterminada";568;3148;8701;1014;463;13894
". 112 Intervenções legais e operações de guerra";201;912;622;278;291;2304
". 113 Todas as outras causas externas";973;3709;8054;1936;1046;15718
"Total";94477;380646;664368;225569;100548;1465608
