Causa - CID-BR-10;1 Região Norte;2 Região Nordeste;3 Região Sudeste;4 Região Sul;5 Região Centro-Oeste;Total
060-063 DOENCAS DO SISTEMA NERVOSO;1901;9497;21625;9362;3213;45598
060 MENINGITE;48;123;287;93;39;590
061 DOENCA DE ALZHEIMER;751;4721;12141;4562;1680;23855
062 EPILEPSIA;215;1044;1632;618;345;3854
063 RESTANTE DAS DOENCAS DO SISTEMA NERVOSO;887;3609;7565;4089;1149;17299
064 DOENCAS DOS OLHOS E ANEXOS;3;10;10;1;;24
065 DOENCAS DO OUVIDO E DA APOFISE MASTOIDE;14;54;77;12;7;164
066-072 DOENCAS DO APARELHO CIRCULATORIO;20353;96649;164015;52739;23985;357741
066 FEBRE REUMAT AGUDA E DOEN REUM CRON CORACAO;89;577;815;323;192;1996
067 DOENCAS HIPERTENSIVAS;3774;19956;28892;8502;4022;65146
068 DOENCAS ISQUEMICAS DO CORACAO;6100;29386;50312;15953;7805;109556
068.1 INFARTO AGUDO DO MIOCARDIO;5562;25057;41702;11852;6292;90465
069 OUTRAS DOENCAS CARDIACAS;3148;14949;33974;9771;4310;66152
070 DOENCAS CEREBROVASCULARES;6639;28085;42109;15520;6490;98843
071 ATEROSCLEROSE;13;210;380;94;47;744
072 REST DOENCAS DO APARELHO CIRCULATORIO;590;3486;7533;2576;1119;15304
073-077 DOENCAS DO APARELHO RESPIRATORIO;10427;35431;74233;19396;9286;148773
073 INFLUENZA (GRIPE);179;396;470;93;48;1186
074 PNEUMONIA;4918;15973;33969;7991;4212;67063
075 OUT INFEC AGUDAS DAS VIAS AEREAS INFERIORES;52;512;261;114;40;979
075.1 BRONQUIOLITE;31;71;107;21;13;243
076 DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES;2222;8288;17109;8239;3639;39497
076.1 ASMA;113;849;1217;417;139;2735
077 RESTANTE  DOENCAS DO APARELHO RESPIRATORIO;3056;10262;22424;2959;1347;40048
078-082 DOENCAS DO APARELHO DIGESTIVO;3682;17897;29883;10286;4919;66667
078 ULCERA GASTRICA, DUODENAL E PEPTICA;210;1046;1673;549;257;3735
079 PERITONITE;102;500;780;191;81;1654
080 DOENCAS DO FIGADO;1399;7511;11068;3792;1882;25652
080.1 DOENCA ALCOOLICA DO FIGADO;451;3488;3994;1707;943;10583
080.2 FIBROSE E CIRROSE DO FIGADO;596;1829;4585;1428;589;9027
080.3 OUTRAS DOENCAS DO FIGADO;352;2194;2489;657;350;6042
081 COLECISTITE;107;365;758;356;141;1727
082 REST DOENCAS DO APARELHO DIGESTIVO;1864;8475;15604;5398;2558;33899
083 DOENCAS DA PELE E TECIDO SUBCUTANEO;299;2163;3309;723;302;6796
084 DOENCAS SIST OSTEOMUSC E TECIDO CONJUNTIVO;330;1662;2986;782;368;6128
085-087 DOENCAS DO APARELHO GENITURINARIO;2171;9539;24048;6178;2924;44860
085 D GLOMERULARES E D RENAIS TUBULO-INTERSTIC;153;1199;2648;464;393;4857
086 INSUFICIENCIA RENAL;1225;3726;6974;2377;1163;15465
087 REST DOENCAS DO APARELHO GENITURINARIO;793;4614;14426;3337;1368;24538
093-097 ALG AFECCOES ORIGIN NO PERIODO PERINATAL;2508;6159;6620;2026;1457;18770
093 FETO E RECEMNASC AFET FAT MAT E COMPL GRAV;561;1505;2080;824;487;5457
094 TRANST RELAC DURACAO GESTACAO E CRESC FETAL;219;674;471;152;78;1594
095 TRAUMATISMO DE PARTO;12;16;8;4;2;42
096 TRANS RESP E CARDIOVAS ESPEC PER PERINATAL;991;2184;2048;568;462;6253
097 REST AFEC ORIGINADAS NO PERIODO PERINATAL;725;1780;2013;478;428;5424
098-100 MALF CONGEN, DEFORM E ANOMAL CROMOSSOMICAS;1036;2807;3608;1338;884;9673
098 MALFORMACOES CONGENITAS DO SISTEMA NERVOSO;193;462;456;193;132;1436
099 MALF CONGENITAS DO APARELHO CIRCULATORIO;407;1021;1357;461;326;3572
100 REST DE MALF CONG, DEFORM E ANOMAL CROMOSS;436;1324;1795;684;426;4665
TOTAL;109014;415919;703059;221808;107024;1318294
