Causa - CID-BR-10;1 Região Norte;2 Região Nordeste;3 Região Sudeste;4 Região Sul;5 Região Centro-Oeste;Total
050 LEUCEMIA;450;1729;3280;1494;482;7435
051 NEOPLASIAS IN SITU, BENIG, COMPORT INCERT;373;1256;2568;580;318;5095
052 RESTANTE DE NEOPLASIAS MALIGNAS;2430;10958;21332;7639;2875;45234
053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT;584;2097;3531;799;512;7523
053 ANEMIAS;400;1388;2246;435;279;4748
054 REST D SANGUE, ORG HEMAT E ALG TRANST IMUNIT;184;709;1285;364;233;2775
055-057 D ENDOCRINAS, NUTRICIONAIS E METABOLICAS;6089;25671;36019;14468;5720;87967
055 DIABETES MELLITUS;4865;21096;28093;11970;4353;70377
056 DESNUTRICAO;501;1409;1577;398;377;4262
057 REST DOENCAS ENDOCR, NUTRICION E METABOLICAS;723;3166;6349;2100;990;13328
058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS;692;5222;8114;3026;1312;18366
058 TRANST MENT E COMPORT USO SUBST PSICOATIVAS;481;3680;4062;2160;840;11223
058.1 TRANS MENT E COMPORT DEVID USO ALCOOL;318;2671;2755;1358;594;7696
059 REST TRANSTORNOS MENTAIS E COMPORTAMENTAIS;211;1542;4052;866;472;7143
060-063 DOENCAS DO SISTEMA NERVOSO;2428;11979;26604;12182;3677;56870
060 MENINGITE;64;193;519;169;68;1013
061 DOENCA DE ALZHEIMER;1038;6092;14847;6071;1889;29937
062 EPILEPSIA;268;1229;2024;835;397;4753
063 RESTANTE DAS DOENCAS DO SISTEMA NERVOSO;1058;4465;9214;5107;1323;21167
064 DOENCAS DOS OLHOS E ANEXOS;1;19;11;1;2;34
065 DOENCAS DO OUVIDO E DA APOFISE MASTOIDE;15;82;143;34;20;294
066-072 DOENCAS DO APARELHO CIRCULATORIO;22560;102356;178646;58393;26222;388177
066 FEBRE REUMAT AGUDA E DOEN REUM CRON CORACAO;159;705;1027;385;199;2475
067 DOENCAS HIPERTENSIVAS;3676;18481;27385;9847;3978;63367
068 DOENCAS ISQUEMICAS DO CORACAO;6806;31677;54425;16428;8746;118082
068.1 INFARTO AGUDO DO MIOCARDIO;5909;26379;42996;11820;6904;94008
069 OUTRAS DOENCAS CARDIACAS;3929;17269;41115;11690;4825;78828
070 DOENCAS CEREBROVASCULARES;7165;29485;44403;16938;6997;104988
071 ATEROSCLEROSE;20;182;475;87;49;813
072 REST DOENCAS DO APARELHO CIRCULATORIO;805;4557;9816;3018;1428;19624
073-077 DOENCAS DO APARELHO RESPIRATORIO;10546;41912;81455;24583;11636;170132
073 INFLUENZA (GRIPE);181;361;393;246;153;1334
074 PNEUMONIA;5511;19905;44238;10201;5345;85200
075 OUT INFEC AGUDAS DAS VIAS AEREAS INFERIORES;110;984;468;194;95;1851
075.1 BRONQUIOLITE;73;267;267;78;71;756
076 DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES;2917;10331;22175;10865;4522;50810
076.1 ASMA;134;761;1171;506;151;2723
077 RESTANTE  DOENCAS DO APARELHO RESPIRATORIO;1827;10331;14181;3077;1521;30937
078-082 DOENCAS DO APARELHO DIGESTIVO;4493;20703;34249;11512;5915;76872
078 ULCERA GASTRICA, DUODENAL E PEPTICA;260;1265;2175;731;364;4795
079 PERITONITE;174;640;957;188;97;2056
080 DOENCAS DO FIGADO;1577;7951;11667;3952;2178;27325
080.1 DOENCA ALCOOLICA DO FIGADO;533;3658;4120;1867;1052;11230
080.2 FIBROSE E CIRROSE DO FIGADO;582;1854;4688;1389;734;9247
080.3 OUTRAS DOENCAS DO FIGADO;462;2439;2859;696;392;6848
081 COLECISTITE;141;469;956;437;152;2155
082 REST DOENCAS DO APARELHO DIGESTIVO;2341;10378;18494;6204;3124;40541
083 DOENCAS DA PELE E TECIDO SUBCUTANEO;446;3211;5060;1020;510;10247
084 DOENCAS SIST OSTEOMUSC E TECIDO CONJUNTIVO;371;1891;3524;1004;543;7333
085-087 DOENCAS DO APARELHO GENITURINARIO;2872;12096;31686;7613;3722;57989
085 D GLOMERULARES E D RENAIS TUBULO-INTERSTIC;254;1759;3968;523;435;6939
086 INSUFICIENCIA RENAL;1512;4145;7841;2607;1265;17370
087 REST DOENCAS DO APARELHO GENITURINARIO;1106;6192;19877;4483;2022;33680
093-097 ALG AFECCOES ORIGIN NO PERIODO PERINATAL;2291;5417;6404;1981;1523;17616
093 FETO E RECEMNASC AFET FAT MAT E COMPL GRAV;580;1512;2134;875;607;5708
094 TRANST RELAC DURACAO GESTACAO E CRESC FETAL;140;559;445;125;77;1346
095 TRAUMATISMO DE PARTO;3;19;7;2;8;39
096 TRANS RESP E CARDIOVAS ESPEC PER PERINATAL;897;1780;1923;493;415;5508
097 REST AFEC ORIGINADAS NO PERIODO PERINATAL;671;1547;1895;486;416;5015
098-100 MALF CONGEN, DEFORM E ANOMAL CROMOSSOMICAS;1245;3127;3856;1531;1021;10780
098 MALFORMACOES CONGENITAS DO SISTEMA NERVOSO;216;459;519;185;156;1535
099 MALF CONGENITAS DO APARELHO CIRCULATORIO;522;1242;1415;533;402;4114
100 REST DE MALF CONG, DEFORM E ANOMAL CROMOSS;507;1426;1922;813;463;5131
TOTAL;94477;380646;664368;225569;100548;1238678
