Causa - CID-BR-10;1 Região Norte;2 Região Nordeste;3 Região Sudeste;4 Região Sul;5 Região Centro-Oeste;Total
078-082 DOENCAS DO APARELHO DIGESTIVO;4150;18893;32820;10965;5489;72317
078 ULCERA GASTRICA, DUODENAL E PEPTICA;237;1067;1853;629;320;4106
079 PERITONITE;107;524;762;203;68;1664
080 DOENCAS DO FIGADO;1612;7743;12191;4022;2120;27688
080.1 DOENCA ALCOOLICA DO FIGADO;496;3410;4226;1753;983;10868
080.2 FIBROSE E CIRROSE DO FIGADO;672;1928;5108;1599;765;10072
080.3 OUTRAS DOENCAS DO FIGADO;444;2405;2857;670;372;6748
081 COLECISTITE;109;405;895;456;152;2017
082 REST DOENCAS DO APARELHO DIGESTIVO;2085;9154;17119;5655;2829;36842
083 DOENCAS DA PELE E TECIDO SUBCUTANEO;320;2551;4092;848;358;8169
084 DOENCAS SIST OSTEOMUSC E TECIDO CONJUNTIVO;367;1690;2949;774;390;6170
085-087 DOENCAS DO APARELHO GENITURINARIO;2384;10510;27674;7166;3124;50858
085 D GLOMERULARES E D RENAIS TUBULO-INTERSTIC;165;1289;2835;570;368;5227
086 INSUFICIENCIA RENAL;1375;4021;8570;2744;1303;18013
087 REST DOENCAS DO APARELHO GENITURINARIO;844;5200;16269;3852;1453;27618
093-097 ALG AFECCOES ORIGIN NO PERIODO PERINATAL;2588;6099;6427;1982;1506;18602
093 FETO E RECEMNASC AFET FAT MAT E COMPL GRAV;663;1471;2050;843;540;5567
094 TRANST RELAC DURACAO GESTACAO E CRESC FETAL;234;596;416;123;99;1468
095 TRAUMATISMO DE PARTO;8;8;9;4;4;33
096 TRANS RESP E CARDIOVAS ESPEC PER PERINATAL;970;2146;1964;545;430;6055
097 REST AFEC ORIGINADAS NO PERIODO PERINATAL;713;1878;1988;467;433;5479
098-100 MALF CONGEN, DEFORM E ANOMAL CROMOSSOMICAS;1148;2873;3662;1379;930;9992
098 MALFORMACOES CONGENITAS DO SISTEMA NERVOSO;205;478;493;175;163;1514
099 MALF CONGENITAS DO APARELHO CIRCULATORIO;462;1049;1395;549;349;3804
100 REST DE MALF CONG, DEFORM E ANOMAL CROMOSS;481;1346;1774;655;418;4674
TOTAL;121353;443872;843734;290226;133463;1585785
